,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
1978,Madrid,0.5,0.0,0.05,0.245,0.555361135,0.41751255,0.368151692,0.330706619
1979,Madrid,0.5,0.0,0.09,0.245,0.391236091,0.275945354,0.234662197,0.203719893
1980,Madrid,0.4,0.008,0.11,0.245,0.366525725,0.312800443,0.309323628,0.290083453
1981,Madrid,0.5,0.0,0.15,0.245,0.309173671,0.205161866,0.167917562,0.140226643
1982,Madrid,0.4,0.008,0.17,0.245,0.30517536,0.247229863,0.236377466,0.214041462
1983,Madrid,0.5,0.0,0.07,0.245,0.449852164,0.326505052,0.282337001,0.249072279
1984,Madrid,0.5,0.0,0.21,0.245,0.274004151,0.174826179,0.139312814,0.113015347
1985,Madrid,0.5,0.0,0.11,0.245,0.353934973,0.243771021,0.204323706,0.174859304
1986,Madrid,0.5,0.0,0.17,0.245,0.294692092,0.192670688,0.156139123,0.129021978
1987,Madrid,0.5,0.0,0.27,0.245,0.254465596,0.157973092,0.123421362,0.097898036
1988,Madrid,0.5,0.0,0.23,0.245,0.266358621,0.168231483,0.13309441,0.107099868
1989,Madrid,0.5,0.0,0.13,0.245,0.328111137,0.2214965,0.183320153,0.154878914
1990,Madrid,0.5,0.0,0.33,0.245,0.242032027,0.14724846,0.11330868,0.08827799
1991,Madrid,0.5,0.0,0.19,0.245,0.283259277,0.182809243,0.146840367,0.120176202
1992,Madrid,0.5,0.002,0.03,0.245,0.893893008,0.713352746,0.697102383,0.723519995
1993,Madrid,0.5,0.0,0.29,0.245,0.249749408,0.153905121,0.119585509,0.094249045
1994,Madrid,0.5,0.0,0.25,0.245,0.259936383,0.162691947,0.127870959,0.102130874
1995,Madrid,0.5,0.002,0.09,0.245,0.436309312,0.312522302,0.287803647,0.282807258
1996,Madrid,0.5,0.0,0.35,0.245,0.238834835,0.14449071,0.110708289,0.085804277
1997,Madrid,0.5,0.002,0.05,0.245,0.619342745,0.47285443,0.451523087,0.45909229
1998,Madrid,0.5,0.002,0.15,0.245,0.344792709,0.232356361,0.205944065,0.194664899
1999,Madrid,0.5,0.0,0.31,0.245,0.245641766,0.150362056,0.116244613,0.091070899
2000,Madrid,0.5,0.002,0.11,0.245,0.394710835,0.276083215,0.250594721,0.242742521
2001,Madrid,0.5,0.002,0.21,0.245,0.305571406,0.197999636,0.170861504,0.156889737
2002,Madrid,0.5,0.002,0.01,0.245,2.266644555,1.915844574,1.924999141,2.045658832
2003,Madrid,0.5,0.002,0.27,0.245,0.283781869,0.178912649,0.151371284,0.13590364
2004,Madrid,0.5,0.002,0.07,0.245,0.501678378,0.369783758,0.346274856,0.345766176
2005,Madrid,0.5,0.002,0.17,0.245,0.328642747,0.21820946,0.191498288,0.179110402
2006,Madrid,0.5,0.002,0.13,0.245,0.365911907,0.250856175,0.224834716,0.215005419
2007,Madrid,0.5,0.002,0.33,0.245,0.269915862,0.166766452,0.138968491,0.122548937
2008,Madrid,0.5,0.002,0.23,0.245,0.297045055,0.190530804,0.163234884,0.148677772
2009,Madrid,0.5,0.002,0.29,0.245,0.278522341,0.174305462,0.146666767,0.130838053
2010,Madrid,0.5,0.002,0.19,0.245,0.315892789,0.207040866,0.180093742,0.166830553
