,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
834,Durham,0.4,0.012,0.07,0.049,0.61618261,0.628016934,0.718647821,0.762260727
835,Durham,0.4,0.012,0.17,0.049,0.303776951,0.297609044,0.334441904,0.349495558
836,Durham,0.4,0.012,0.27,0.049,0.222783226,0.211948165,0.234833493,0.242482965
837,Durham,0.4,0.012,0.13,0.049,0.371064241,0.368773714,0.417193816,0.438398676
838,Durham,0.4,0.012,0.23,0.049,0.24672915,0.23727393,0.264282861,0.274121387
839,Durham,0.4,0.012,0.33,0.049,0.197748933,0.185471333,0.204045646,0.209406581
840,Durham,0.4,0.014,0.03,0.049,1.340910703,1.445073545,1.646518003,1.743817147
841,Durham,0.4,0.012,0.19,0.049,0.280757644,0.273263272,0.306132085,0.319081385
842,Durham,0.4,0.012,0.29,0.049,0.213287447,0.201905212,0.223155324,0.229936728
843,Durham,0.4,0.012,0.25,0.049,0.233798344,0.223598007,0.248380191,0.257036626
844,Durham,0.4,0.014,0.09,0.049,0.504409949,0.528094168,0.594069806,0.622737742
845,Durham,0.4,0.012,0.35,0.049,0.191311564,0.178663031,0.196128804,0.200901262
846,Durham,0.4,0.014,0.15,0.049,0.337110017,0.344698582,0.383580522,0.39852226
847,Durham,0.4,0.014,0.05,0.049,0.839010177,0.894885822,1.015048966,1.071169371
848,Durham,0.4,0.012,0.31,0.049,0.205016942,0.19315814,0.212984035,0.219009381
849,Durham,0.4,0.014,0.21,0.049,0.265410203,0.26610068,0.293371083,0.302430195
850,Durham,0.4,0.014,0.01,0.049,3.850413697,4.196012643,4.80386378,5.107056692
851,Durham,0.4,0.014,0.11,0.049,0.428364492,0.444732494,0.498392805,0.520821554
852,Durham,0.4,0.014,0.07,0.049,0.623910004,0.659091153,0.744419464,0.782891848
853,Durham,0.4,0.014,0.27,0.049,0.225577095,0.22243534,0.243254926,0.249045937
854,Durham,0.4,0.014,0.17,0.049,0.307586543,0.312334711,0.346435424,0.3589549
855,Durham,0.4,0.014,0.23,0.049,0.249823319,0.249014222,0.273760387,0.281540674
856,Durham,0.4,0.014,0.13,0.049,0.375717666,0.387020603,0.432154927,0.450264243
857,Durham,0.4,0.014,0.33,0.049,0.200228853,0.194648437,0.211362988,0.215074317
858,Durham,0.4,0.014,0.19,0.049,0.284278556,0.286784313,0.317110378,0.327717546
859,Durham,0.4,0.014,0.29,0.049,0.215962232,0.211895463,0.231157964,0.236160127
860,Durham,0.4,0.016,0.03,0.049,1.357940297,1.502185914,1.693173747,1.780853231
861,Durham,0.4,0.016,0.09,0.049,0.510815966,0.548965568,0.610903371,0.635963766
862,Durham,0.4,0.014,0.25,0.049,0.236730351,0.234661616,0.257287426,0.263993503
863,Durham,0.4,0.014,0.35,0.049,0.193710755,0.187503261,0.203162237,0.206338795
864,Durham,0.4,0.014,0.31,0.049,0.207588009,0.202715587,0.220621918,0.224937024
865,Durham,0.4,0.016,0.05,0.049,0.849665624,0.930253606,1.0438114,1.093919416
866,Durham,0.4,0.016,0.15,0.049,0.341391322,0.3583218,0.394449662,0.40698628
867,Durham,0.4,0.016,0.11,0.049,0.43380473,0.462309265,0.512515266,0.531883029
868,Durham,0.4,0.016,0.21,0.049,0.268780919,0.276617543,0.301684048,0.308853363
869,Durham,0.4,0.016,0.01,0.049,3.899314032,4.361847954,4.939986093,5.215522983
870,Durham,0.4,0.016,0.17,0.049,0.311492899,0.324678841,0.356252021,0.366578569
871,Durham,0.4,0.016,0.27,0.049,0.228441929,0.231226456,0.250147799,0.254335302
872,Durham,0.4,0.016,0.07,0.049,0.631833675,0.685139832,0.765513338,0.799519307
873,Durham,0.4,0.016,0.23,0.049,0.252996081,0.258855791,0.281517663,0.287520179
874,Durham,0.4,0.016,0.13,0.049,0.380489288,0.402316477,0.444400471,0.459827186
875,Durham,0.4,0.016,0.33,0.049,0.202771764,0.202341355,0.217352171,0.219642176
876,Durham,0.4,0.016,0.29,0.049,0.218704957,0.220270021,0.237708057,0.241175817
877,Durham,0.4,0.016,0.19,0.049,0.2878889,0.298118637,0.32609602,0.334677779
878,Durham,0.4,0.016,0.35,0.049,0.196170886,0.194913787,0.208919044,0.210721125
879,Durham,0.4,0.018,0.03,0.049,1.375408008,1.550696298,1.732020926,1.811302928
880,Durham,0.4,0.016,0.25,0.049,0.239736831,0.24393594,0.264577924,0.269600332
881,Durham,0.4,0.018,0.09,0.049,0.517386789,0.566693421,0.624919578,0.646837713
882,Durham,0.4,0.016,0.31,0.049,0.210224381,0.210727336,0.226873462,0.229714352
883,Durham,0.4,0.018,0.15,0.049,0.34578277,0.369893156,0.403499682,0.413945085
884,Durham,0.4,0.018,0.05,0.049,0.860595202,0.960294468,1.067759992,1.112623661
885,Durham,0.4,0.018,0.01,0.049,3.949472415,4.502705965,5.053326218,5.304699952
886,Durham,0.4,0.018,0.11,0.049,0.439384928,0.477238708,0.524274114,0.540977365
887,Durham,0.4,0.018,0.21,0.049,0.272238351,0.285550407,0.308605709,0.314134254
888,Durham,0.4,0.018,0.17,0.049,0.315499752,0.335163759,0.364425657,0.372846467
889,Durham,0.4,0.018,0.07,0.049,0.639961195,0.707265187,0.783076824,0.813189788
890,Durham,0.4,0.018,0.27,0.049,0.231380466,0.238693497,0.255887043,0.258684023
891,Durham,0.4,0.018,0.13,0.049,0.385383669,0.415308562,0.454596533,0.467689484
892,Durham,0.4,0.018,0.33,0.049,0.205380096,0.208875604,0.222338971,0.2233977
893,Durham,0.4,0.018,0.23,0.049,0.256250467,0.267215072,0.287976638,0.292436307
894,Durham,0.4,0.018,0.19,0.049,0.291592126,0.30774584,0.333577774,0.340400226
895,Durham,0.5,0.0,0.03,0.049,1.258852303,1.151316742,1.110275504,1.069540982
896,Durham,0.4,0.018,0.29,0.049,0.221518244,0.227383244,0.24316189,0.245299532
897,Durham,0.4,0.018,0.35,0.049,0.198694308,0.201208176,0.213712359,0.214324114
898,Durham,0.4,0.018,0.25,0.049,0.242820659,0.251813411,0.270648244,0.27421006
899,Durham,0.5,0.0,0.05,0.049,0.787666093,0.712972037,0.684465035,0.656983758
900,Durham,0.4,0.018,0.31,0.049,0.212928578,0.217532395,0.232078713,0.233642094
901,Durham,0.5,0.0,0.09,0.049,0.473542067,0.420742362,0.400591522,0.381945743
902,Durham,0.5,0.0,0.01,0.049,3.614783698,3.343040649,3.239328248,3.132327515
903,Durham,0.5,0.0,0.15,0.049,0.316480226,0.274627716,0.258654966,0.24442694
904,Durham,0.5,0.0,0.07,0.049,0.585729194,0.525110076,0.501974891,0.480173577
905,Durham,0.5,0.0,0.11,0.049,0.40215029,0.354326579,0.336074869,0.319437159
906,Durham,0.5,0.0,0.21,0.049,0.249168155,0.212007319,0.197825184,0.185490485
