Location,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,Panel Replacement,LCOE
Paris,0.2,0.016,0.29,1.225,2,1.13566802
Paris,0.2,0.016,0.15,1.225,2,1.210151716
Paris,0.2,0.016,0.25,1.225,2,1.148436604
Paris,0.2,0.016,0.35,1.225,2,1.121987447
Paris,0.2,0.016,0.21,1.225,2,1.166069458
Paris,0.2,0.018,0.05,1.225,2,1.548483848
Paris,0.2,0.016,0.31,1.225,2,1.130519409
Paris,0.2,0.018,0.11,1.225,2,1.291065359
Paris,0.2,0.016,0.27,1.225,2,1.141579397
Paris,0.2,0.018,0.01,1.225,2,3.436220687
Paris,0.2,0.018,0.07,1.225,2,1.413645556
Paris,0.2,0.018,0.17,1.225,2,1.215354172
Paris,0.2,0.016,0.33,1.225,2,1.12599488
Paris,0.2,0.018,0.13,1.225,2,1.258063028
Paris,0.2,0.018,0.03,1.225,2,1.863106612
Paris,0.2,0.018,0.23,1.225,2,1.179144573
Paris,0.2,0.018,0.09,1.225,2,1.338735422
Paris,0.2,0.018,0.19,1.225,2,1.200743268
Paris,0.2,0.018,0.29,1.225,2,1.157918334
Paris,0.2,0.018,0.15,1.225,2,1.233861335
Paris,0.2,0.018,0.25,1.225,2,1.170937084
Paris,0.2,0.018,0.35,1.225,2,1.143969727
Paris,0.2,0.018,0.21,1.225,2,1.188915405
Paris,0.2,0.018,0.31,1.225,2,1.15266885
Paris,0.3,0,0.05,1.225,2,1.410868402
Paris,0.2,0.018,0.27,1.225,2,1.163945528
Paris,0.3,0,0.11,1.225,2,1.176326975
Paris,0.3,0,0.01,1.225,2,3.130840013
Paris,0.3,0,0.17,1.225,2,1.107344324
Paris,0.2,0.018,0.33,1.225,2,1.148055675
Paris,0.3,0,0.07,1.225,2,1.288013336
Paris,0.3,0,0.23,1.225,2,1.074352711
Paris,0.3,0,0.13,1.225,2,1.146257597
Paris,0.3,0,0.03,1.225,2,1.697530299
Paris,0.3,0,0.29,1.225,2,1.055012871
Paris,0.3,0,0.19,1.225,2,1.094031906
Paris,0.3,0,0.09,1.225,2,1.219760547
Paris,0.3,0,0.15,1.225,2,1.124206734
Paris,0.3,0,0.25,1.225,2,1.06687463
Paris,0.3,0,0.35,1.225,2,1.042303892
Paris,0.3,0,0.21,1.225,2,1.083255199
Paris,0.3,0,0.31,1.225,2,1.050229914
Paris,0.3,0.002,0.05,1.225,2,1.512248767
Paris,0.3,0,0.27,1.225,2,1.060504422
Paris,0.3,0.002,0.11,1.225,2,1.260853964
Paris,0.3,0.002,0.01,1.225,2,3.355811883
Paris,0.3,0,0.33,1.225,2,1.046026717
Paris,0.3,0.002,0.17,1.225,2,1.186914446
Paris,0.3,0.002,0.07,1.225,2,1.38056574
Paris,0.3,0.002,0.23,1.225,2,1.151552165
Paris,0.3,0.002,0.03,1.225,2,1.819509246
Paris,0.3,0.002,0.13,1.225,2,1.228623899
Paris,0.3,0.002,0.29,1.225,2,1.130822627
Paris,0.3,0.002,0.09,1.225,2,1.30740853
Paris,0.3,0.002,0.19,1.225,2,1.172645443
Paris,0.3,0.002,0.25,1.225,2,1.143536734
Paris,0.3,0.002,0.35,1.225,2,1.117200423
Paris,0.3,0.002,0.15,1.225,2,1.204988534
Paris,0.3,0.002,0.31,1.225,2,1.125695983
Paris,0.3,0.004,0.05,1.225,2,1.537908103
Paris,0.3,0.002,0.21,1.225,2,1.161094356
Paris,0.3,0.004,0.01,1.225,2,3.412752187
Paris,0.3,0.002,0.27,1.225,2,1.136708783
Paris,0.3,0.002,0.33,1.225,2,1.121190758
Paris,0.3,0.004,0.07,1.225,2,1.403990722
Paris,0.3,0.004,0.11,1.225,2,1.282247716
Paris,0.3,0.004,0.17,1.225,2,1.207053617
Paris,0.3,0.004,0.03,1.225,2,1.850382075
Paris,0.3,0.004,0.23,1.225,2,1.17109132
Paris,0.3,0.004,0.13,1.225,2,1.249470782
Paris,0.3,0.004,0.19,1.225,2,1.192542502
Paris,0.3,0.004,0.09,1.225,2,1.329592205
Paris,0.3,0.004,0.29,1.225,2,1.150010051
Paris,0.3,0.004,0.35,1.225,2,1.13615671
Paris,0.3,0.004,0.25,1.225,2,1.162939886
Paris,0.3,0.006,0.05,1.225,2,1.564453227
Paris,0.3,0.004,0.15,1.225,2,1.22543438
Paris,0.3,0.004,0.21,1.225,2,1.18079542
Paris,0.3,0.004,0.31,1.225,2,1.14479642
Paris,0.3,0.006,0.01,1.225,2,3.471658132
Paris,0.3,0.004,0.27,1.225,2,1.155996081
Paris,0.3,0.006,0.07,1.225,2,1.428224359
Paris,0.3,0.006,0.11,1.225,2,1.304380004
Paris,0.3,0.004,0.33,1.225,2,1.140214751
Paris,0.3,0.006,0.03,1.225,2,1.882320669
Paris,0,0,0.03,1.225,2,1.287653621
Paris,0.3,0.006,0.09,1.225,2,1.352541684
Paris,0.3,0.006,0.13,1.225,2,1.271037322
Paris,0,0,0.09,1.225,2,0.925243624
Paris,0,0,0.15,1.225,2,0.852761729
Paris,0,0,0.05,1.225,2,1.070207588
Paris,0,0,0.01,1.225,2,2.37488396
Paris,0,0,0.11,1.225,2,0.892297292
Paris,0,0,0.17,1.225,2,0.839970826
Paris,0,0,0.21,1.225,2,0.821698134
Paris,0,0,0.07,1.225,2,0.977016456
Paris,0,0,0.27,1.225,2,0.804440639
Paris,0,0,0.13,1.225,2,0.869488306
Paris,0,0,0.33,1.225,2,0.793458644
Paris,0,0,0.19,1.225,2,0.829872755
Paris,0,0,0.23,1.225,2,0.814945194
Paris,0,0,0.29,1.225,2,0.800275049
Paris,0,0.002,0.03,1.225,2,1.309932247
Paris,0,0,0.35,1.225,2,0.790634713
Paris,0,0,0.25,1.225,2,0.809272731
Paris,0,0,0.31,1.225,2,0.79664696
Paris,0,0.002,0.09,1.225,2,0.941251932
Paris,0,0.002,0.05,1.225,2,1.088724023
Paris,0,0.002,0.01,1.225,2,2.415973544
Paris,0,0.002,0.15,1.225,2,0.867515975
Paris,0,0.002,0.21,1.225,2,0.835914927
Paris,0,0.002,0.11,1.225,2,0.907735572
Paris,0,0.002,0.07,1.225,2,0.993920523
Paris,0,0.002,0.17,1.225,2,0.854503769
Paris,0,0.002,0.27,1.225,2,0.818358848
Paris,0,0.002,0.23,1.225,2,0.829045149
Paris,0,0.002,0.33,1.225,2,0.807186846
Paris,0,0.002,0.13,1.225,2,0.884531952
Paris,0,0.002,0.19,1.225,2,0.844230983
