Job.ProjectName,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,job.Life,Finance.LCOE
Copenhagen,0,0.012,0.01,1.225,2,3.206559914
Copenhagen,0,0.012,0.05,1.225,2,1.355270433
Copenhagen,0,0.012,0.15,1.225,2,1.04672243
Copenhagen,0,0.012,0.11,1.225,2,1.10282201
Copenhagen,0,0.012,0.07,1.225,2,1.223035515
Copenhagen,0,0.012,0.21,1.225,2,1.002644263
Copenhagen,0,0.012,0.17,1.225,2,1.028572584
Copenhagen,0,0.012,0.27,1.225,2,0.978156462
Copenhagen,0,0.012,0.13,1.225,2,1.070456859
Copenhagen,0,0.012,0.33,1.225,2,0.962573372
Copenhagen,0,0.012,0.23,1.225,2,0.99306207
Copenhagen,0,0.014,0.03,1.225,2,1.691190506
Copenhagen,0,0.012,0.29,1.225,2,0.972245627
Copenhagen,0,0.012,0.19,1.225,2,1.014243769
Copenhagen,0,0.014,0.09,1.225,2,1.168483561
Copenhagen,0,0.012,0.35,1.225,2,0.958566304
Copenhagen,0,0.012,0.25,1.225,2,0.985013037
Copenhagen,0,0.014,0.05,1.225,2,1.377566297
Copenhagen,0,0.012,0.31,1.225,2,0.967097488
Copenhagen,0,0.014,0.15,1.225,2,1.063942299
Copenhagen,0,0.014,0.11,1.225,2,1.120964787
Copenhagen,0,0.014,0.01,1.225,2,3.259311764
Copenhagen,0,0.014,0.07,1.225,2,1.243155952
Copenhagen,0,0.014,0.21,1.225,2,1.019138993
Copenhagen,0,0.014,0.17,1.225,2,1.045493866
Copenhagen,0,0.014,0.13,1.225,2,1.08806719
Copenhagen,0,0.014,0.27,1.225,2,0.994248337
Copenhagen,0,0.014,0.23,1.225,2,1.009399162
Copenhagen,0,0.014,0.33,1.225,2,0.978408887
Copenhagen,0,0.014,0.19,1.225,2,1.030929325
Copenhagen,0,0.016,0.03,1.225,2,1.719478032
Copenhagen,0,0.014,0.29,1.225,2,0.988240262
Copenhagen,0,0.016,0.09,1.225,2,1.188028083
Copenhagen,0,0.014,0.25,1.225,2,1.001217712
Copenhagen,0,0.016,0.15,1.225,2,1.081738222
Copenhagen,0,0.014,0.35,1.225,2,0.974335898
Copenhagen,0,0.016,0.05,1.225,2,1.400608019
Copenhagen,0,0.014,0.31,1.225,2,0.98300743
Copenhagen,0,0.016,0.21,1.225,2,1.036185517
Copenhagen,0,0.016,0.11,1.225,2,1.13971449
Copenhagen,0,0.016,0.01,1.225,2,3.313828311
Copenhagen,0,0.016,0.17,1.225,2,1.062981213
Copenhagen,0,0.016,0.27,1.225,2,1.010878531
Copenhagen,0,0.016,0.07,1.225,2,1.263949473
Copenhagen,0,0.016,0.13,1.225,2,1.106266635
Copenhagen,0,0.016,0.23,1.225,2,1.026282774
Copenhagen,0,0.016,0.19,1.225,2,1.04817306
Copenhagen,0,0.016,0.33,1.225,2,0.994774144
Copenhagen,0,0.018,0.03,1.225,2,1.748727952
Copenhagen,0,0.016,0.29,1.225,2,1.004769963
Copenhagen,0,0.016,0.25,1.225,2,1.017964478
Copenhagen,0,0.018,0.09,1.225,2,1.208237545
Copenhagen,0,0.016,0.35,1.225,2,0.990633028
Copenhagen,0,0.016,0.31,1.225,2,0.999449604
Copenhagen,0,0.018,0.15,1.225,2,1.100139595
Copenhagen,0,0.018,0.05,1.225,2,1.424433664
Copenhagen,0,0.018,0.21,1.225,2,1.053811997
Copenhagen,0,0.018,0.11,1.225,2,1.159102094
Copenhagen,0,0.018,0.01,1.225,2,3.370199612
Copenhagen,0,0.018,0.17,1.225,2,1.081063512
Copenhagen,0,0.018,0.27,1.225,2,1.028074515
Copenhagen,0,0.018,0.07,1.225,2,1.285450429
