Job.ProjectName,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,job.Life,Finance.LCOE
Nairobi,0,0.012,0.21,1.225,2,0.680676588
Nairobi,0,0.012,0.17,1.225,2,0.695068164
Nairobi,0,0.012,0.07,1.225,2,0.80300534
Nairobi,0,0.012,0.27,1.225,2,0.667084585
Nairobi,0,0.012,0.13,1.225,2,0.718316137
Nairobi,0,0.012,0.23,1.225,2,0.675357972
Nairobi,0,0.012,0.33,1.225,2,0.658435168
Nairobi,0,0.012,0.19,1.225,2,0.687114921
Nairobi,0,0.014,0.03,1.225,2,1.08469251
Nairobi,0,0.012,0.29,1.225,2,0.663803767
Nairobi,0,0.012,0.25,1.225,2,0.67089034
Nairobi,0,0.012,0.35,1.225,2,0.656211041
Nairobi,0,0.014,0.09,1.225,2,0.789169716
Nairobi,0,0.014,0.05,1.225,2,0.907378804
Nairobi,0,0.014,0.15,1.225,2,0.730065247
Nairobi,0,0.012,0.31,1.225,2,0.660946285
Nairobi,0,0.014,0.01,1.225,2,1.971261192
Nairobi,0,0.014,0.21,1.225,2,0.704734825
Nairobi,0,0.014,0.11,1.225,2,0.762304035
Nairobi,0,0.014,0.07,1.225,2,0.831387237
Nairobi,0,0.014,0.17,1.225,2,0.719635064
Nairobi,0,0.014,0.27,1.225,2,0.690662418
Nairobi,0,0.014,0.13,1.225,2,0.743704728
Nairobi,0,0.014,0.23,1.225,2,0.699228224
Nairobi,0,0.014,0.19,1.225,2,0.711400717
Nairobi,0,0.014,0.33,1.225,2,0.681707291
Nairobi,0,0.014,0.29,1.225,2,0.68726564
Nairobi,0,0.016,0.03,1.225,2,1.124435214
Nairobi,0,0.016,0.09,1.225,2,0.818084582
Nairobi,0,0.014,0.25,1.225,2,0.694602686
Nairobi,0,0.014,0.35,1.225,2,0.679404552
Nairobi,0,0.014,0.31,1.225,2,0.684307161
Nairobi,0,0.016,0.15,1.225,2,0.756814549
Nairobi,0,0.016,0.05,1.225,2,0.940624804
Nairobi,0,0.016,0.21,1.225,2,0.73055603
Nairobi,0,0.016,0.11,1.225,2,0.790234553
Nairobi,0,0.016,0.01,1.225,2,2.043487422
Nairobi,0,0.016,0.07,1.225,2,0.861848936
Nairobi,0,0.016,0.27,1.225,2,0.715968015
Nairobi,0,0.016,0.17,1.225,2,0.746002208
Nairobi,0,0.016,0.13,1.225,2,0.770953775
Nairobi,0,0.016,0.23,1.225,2,0.724847669
Nairobi,0,0.016,0.33,1.225,2,0.706684776
Nairobi,0,0.016,0.19,1.225,2,0.737466158
Nairobi,0,0.018,0.03,1.225,2,1.167200996
Nairobi,0,0.016,0.25,1.225,2,0.720052653
Nairobi,0,0.016,0.29,1.225,2,0.712446781
Nairobi,0,0.016,0.35,1.225,2,0.704297666
Nairobi,0,0.018,0.09,1.225,2,0.849198893
Nairobi,0,0.018,0.15,1.225,2,0.785598569
Nairobi,0,0.016,0.31,1.225,2,0.709379905
Nairobi,0,0.018,0.05,1.225,2,0.976399702
Nairobi,0,0.018,0.01,1.225,2,2.121207629
Nairobi,0,0.018,0.21,1.225,2,0.758341356
Nairobi,0,0.018,0.11,1.225,2,0.82028964
Nairobi,0,0.018,0.17,1.225,2,0.774375001
Nairobi,0,0.018,0.27,1.225,2,0.743198514
Nairobi,0,0.018,0.07,1.225,2,0.894627742
Nairobi,0,0.018,0.23,1.225,2,0.75241589
Nairobi,0,0.018,0.33,1.225,2,0.733562204
Nairobi,0,0.018,0.13,1.225,2,0.800275554
Nairobi,0,0.018,0.29,1.225,2,0.739543357
Nairobi,0,0.018,0.19,1.225,2,0.765514299
Nairobi,0.1,0,0.03,1.225,2,0.951623552
Nairobi,0.1,0,0.09,1.225,2,0.69235519
Nairobi,0,0.018,0.35,1.225,2,0.731084305
Nairobi,0,0.018,0.25,1.225,2,0.747438504
Nairobi,0.1,0,0.05,1.225,2,0.796062508
Nairobi,0,0.018,0.31,1.225,2,0.736359838
Nairobi,0.1,0,0.15,1.225,2,0.640501596
Nairobi,0.1,0,0.11,1.225,2,0.668785362
Nairobi,0.1,0,0.21,1.225,2,0.618278684
Nairobi,0.1,0,0.01,1.225,2,1.729428904
Nairobi,0.1,0,0.07,1.225,2,0.729393508
Nairobi,0.1,0,0.17,1.225,2,0.631350977
Nairobi,0.1,0,0.27,1.225,2,0.605932665
Nairobi,0.1,0,0.23,1.225,2,0.613447627
Nairobi,0.1,0,0.13,1.225,2,0.6524678
Nairobi,0.1,0,0.33,1.225,2,0.598076144
Nairobi,0.1,0.002,0.03,1.225,2,0.989095647
Nairobi,0.1,0,0.19,1.225,2,0.624126812
Nairobi,0.1,0,0.25,1.225,2,0.609389545
Nairobi,0.1,0,0.35,1.225,2,0.596055903
Nairobi,0.1,0.002,0.09,1.225,2,0.71961807
Nairobi,0.1,0,0.29,1.225,2,0.602952601
Nairobi,0.1,0.002,0.15,1.225,2,0.665722637
Nairobi,0.1,0.002,0.05,1.225,2,0.827409073
Nairobi,0.1,0.002,0.01,1.225,2,1.797528651
Nairobi,0.1,0.002,0.11,1.225,2,0.695120133
Nairobi,0.1,0,0.31,1.225,2,0.600357065
Nairobi,0.1,0.002,0.17,1.225,2,0.656211694
Nairobi,0.1,0.002,0.21,1.225,2,0.642624652
Nairobi,0.1,0.002,0.07,1.225,2,0.758114847
Nairobi,0.1,0.002,0.13,1.225,2,0.678160034
Nairobi,0.1,0.002,0.27,1.225,2,0.629792484
Nairobi,0.1,0.002,0.19,1.225,2,0.648703062
Nairobi,0.1,0.002,0.23,1.225,2,0.637603363
Nairobi,0.1,0.002,0.33,1.225,2,0.621626597
Nairobi,0.1,0.002,0.29,1.225,2,0.626695074
Nairobi,0.1,0.002,0.25,1.225,2,0.633385486
Nairobi,0.1,0.004,0.03,1.225,2,1.018615705
Nairobi,0.1,0.004,0.09,1.225,2,0.741095434
Nairobi,0.1,0.002,0.35,1.225,2,0.619526805
Nairobi,0.1,0.002,0.31,1.225,2,0.623997334
Nairobi,0.1,0.004,0.15,1.225,2,0.685591465
Nairobi,0.1,0.004,0.05,1.225,2,0.852103515
Nairobi,0.1,0.004,0.21,1.225,2,0.661804109
Nairobi,0.1,0.004,0.11,1.225,2,0.715866344
Nairobi,0.1,0.004,0.01,1.225,2,1.8511768
Nairobi,0.1,0.004,0.27,1.225,2,0.648588959
Nairobi,0.1,0.004,0.17,1.225,2,0.675796663
Nairobi,0.1,0.004,0.07,1.225,2,0.780741167
