"Location","Latitude","Longitude","Panel Type","Burn-in","Long-Term Degredation","Initial PCE","Module Cost","Panel Lifetime","LCOE"
"Durham","54.775706","-1.575752","408","0.2","0.004","0.25","0.049","2","0.172686648"
"Durham","54.775706","-1.575752","413","0.2","0.004","0.35","0.049","2","0.141305332"
"Durham","54.775706","-1.575752","411","0.2","0.004","0.31","0.049","2","0.151428311"
"Durham","54.775706","-1.575752","416","0.2","0.006","0.05","0.049","2","0.619690552"
"Durham","54.775706","-1.575752","418","0.2","0.006","0.09","0.049","2","0.372555766"
"Durham","54.775706","-1.575752","421","0.2","0.006","0.15","0.049","2","0.248988508"
"Durham","54.775706","-1.575752","414","0.2","0.006","0.01","0.049","2","2.843904702"
"Durham","54.775706","-1.575752","424","0.2","0.006","0.21","0.049","2","0.196031228"
"Durham","54.775706","-1.575752","417","0.2","0.006","0.07","0.049","2","0.46081817"
"Durham","54.775706","-1.575752","419","0.2","0.006","0.11","0.049","2","0.316388806"
"Durham","54.775706","-1.575752","427","0.2","0.006","0.27","0.049","2","0.166610607"
"Durham","54.775706","-1.575752","422","0.2","0.006","0.17","0.049","2","0.227182554"
"Durham","54.775706","-1.575752","430","0.2","0.006","0.33","0.049","2","0.147888467"
"Durham","54.775706","-1.575752","420","0.2","0.006","0.13","0.049","2","0.277504009"
"Durham","54.775706","-1.575752","425","0.2","0.006","0.23","0.049","2","0.184518799"
"Durham","54.775706","-1.575752","423","0.2","0.006","0.19","0.049","2","0.20996734"
"Durham","54.775706","-1.575752","428","0.2","0.006","0.29","0.049","2","0.159509096"
"Durham","54.775706","-1.575752","433","0.2","0.008","0.03","0.049","2","1.002947946"
"Durham","54.775706","-1.575752","431","0.2","0.006","0.35","0.049","2","0.143074218"
"Durham","54.775706","-1.575752","436","0.2","0.008","0.09","0.049","2","0.377278607"
"Durham","54.775706","-1.575752","426","0.2","0.006","0.25","0.049","2","0.17484837"
"Durham","54.775706","-1.575752","429","0.2","0.006","0.31","0.049","2","0.153323918"
"Durham","54.775706","-1.575752","432","0.2","0.008","0.01","0.049","2","2.87995651"
"Durham","54.775706","-1.575752","439","0.2","0.008","0.15","0.049","2","0.252144903"
"Durham","54.775706","-1.575752","434","0.2","0.008","0.05","0.049","2","0.627546288"
"Durham","54.775706","-1.575752","437","0.2","0.008","0.11","0.049","2","0.320399626"
"Durham","54.775706","-1.575752","442","0.2","0.008","0.21","0.049","2","0.19851629"
"Durham","54.775706","-1.575752","435","0.2","0.008","0.07","0.049","2","0.466659902"
"Durham","54.775706","-1.575752","445","0.2","0.008","0.27","0.049","2","0.168722708"
"Durham","54.775706","-1.575752","440","0.2","0.008","0.17","0.049","2","0.230062517"
"Durham","54.775706","-1.575752","438","0.2","0.008","0.13","0.049","2","0.281021891"
"Durham","54.775706","-1.575752","443","0.2","0.008","0.23","0.049","2","0.18685792"
"Durham","54.775706","-1.575752","448","0.2","0.008","0.33","0.049","2","0.149763229"
"Durham","54.775706","-1.575752","451","0.2","0.01","0.03","0.049","2","1.015825432"
"Durham","54.775706","-1.575752","441","0.2","0.008","0.19","0.049","2","0.212629069"
"Durham","54.775706","-1.575752","446","0.2","0.008","0.29","0.049","2","0.161531172"
"Durham","54.775706","-1.575752","444","0.2","0.008","0.25","0.049","2","0.1770649"
"Durham","54.775706","-1.575752","449","0.2","0.008","0.35","0.049","2","0.144887951"
"Durham","54.775706","-1.575752","454","0.2","0.01","0.09","0.049","2","0.382122727"
"Durham","54.775706","-1.575752","452","0.2","0.01","0.05","0.049","2","0.635603754"
"Durham","54.775706","-1.575752","457","0.2","0.01","0.15","0.049","2","0.255382352"
"Durham","54.775706","-1.575752","447","0.2","0.008","0.31","0.049","2","0.155267585"
"Durham","54.775706","-1.575752","450","0.2","0.01","0.01","0.049","2","2.916934103"
"Durham","54.775706","-1.575752","455","0.2","0.01","0.11","0.049","2","0.32451344"
"Durham","54.775706","-1.575752","453","0.2","0.01","0.07","0.049","2","0.472651645"
"Durham","54.775706","-1.575752","460","0.2","0.01","0.21","0.049","2","0.201065167"
"Durham","54.775706","-1.575752","458","0.2","0.01","0.17","0.049","2","0.233016436"
"Durham","54.775706","-1.575752","463","0.2","0.01","0.27","0.049","2","0.170889046"
"Durham","54.775706","-1.575752","456","0.2","0.01","0.13","0.049","2","0.284630109"
"Durham","54.775706","-1.575752","461","0.2","0.01","0.23","0.049","2","0.189257108"
"Durham","54.775706","-1.575752","459","0.2","0.01","0.19","0.049","2","0.215359149"
"Durham","54.775706","-1.575752","466","0.2","0.01","0.33","0.049","2","0.151686135"
"Durham","54.775706","-1.575752","464","0.2","0.01","0.29","0.049","2","0.163605173"
